TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,YEAR
Davidson,A10,33,17,109.3,107.4,0.5513,52.4,52.3,14.6,15.4,24.4,26.9,29.2,28.1,53.3,51.9,34.1,35.3,65.7,-9.2,N/A,2015
UTEP,CUSA,33,18,105.8,104,0.5501,49.3,52.4,16.6,22,25.4,32.4,37,40,47.7,54,34.6,33.4,68.4,-8.4,N/A,2015
Virginia Tech,ACC,32,13,106.5,104.7,0.5493,51.2,52.3,20.1,16.2,31,29.2,30.8,31.8,50.3,54.6,35,32.6,65.1,-9.2,N/A,2015
Wofford,SC,34,19,111.5,109.7,0.5466,53.3,51.8,16.9,14.9,35.5,26.2,31.1,36.2,54.6,51.8,34.5,34.5,63.9,-9.7,15,2015
Miami OH,MAC,34,25,107.8,106.4,0.5364,55.4,51.3,17.4,19.1,27.5,29,28.1,33.3,53.9,51.9,38.2,33.6,68.8,-4.6,N/A,2015
UC Santa Barbara,BW,34,21,108.7,107.3,0.5353,54.6,48.9,18.2,17.2,27.5,29.2,29.7,32,52.4,50.5,38.1,30.8,65.2,-7.9,N/A,2015
Loyola Marymount,WCC,32,17,104.2,103.1,0.53,50.2,48.5,15.2,15.7,22.8,30.9,29,28.9,50.6,49,33.1,31.8,67,-6.9,N/A,2015
Robert Morris,Horz,34,26,105.9,105,0.5238,51.3,50.3,18.5,18.8,35.3,28.3,38.4,30,50.7,49.8,34.9,34.2,67.9,-4.3,15,2015
Texas A&M Corpus Chris,Slnd,34,20,105.8,105,0.5237,52.8,49.9,17.8,18.3,31.9,30.7,36.7,40.4,53,48.4,34.7,35,67.4,-8.5,N/A,2015
UC Riverside,BW,33,21,109.9,109,0.5225,49.5,51.4,15.8,15.8,32.2,28.9,28.7,33.4,49,51.4,33.5,34.4,67,-4.7,N/A,2015
San Jose St.,MWC,34,15,106.9,106.1,0.522,50.6,51.9,17.4,16.6,26.9,32.2,31.5,28.6,49.1,53.9,35.1,32,66.2,-10.2,N/A,2015
Bryant,AE,34,23,105.8,105.3,0.5112,51,47.7,16.5,16.4,34.2,28.8,30.4,30,51.5,47.3,33.4,32.2,72.3,-7.1,15,2015
Radford,BSth,33,20,109.8,109.3,0.5108,51.1,51,17.7,16.5,33.8,30,41.3,37,49.9,49.3,35.6,35.8,62.9,-7.3,N/A,2015
