TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,POSTSEASON,YEAR
Colgate,Pat,51.4,52.5,22,17.3,24.8,25.3,33.4,38.6,49.4,50,36.1,37.6,66.5,0,2017
Holy Cross,Pat,50.4,53.3,17.8,25.7,19.4,32.4,34.4,30.4,49.3,54.9,34.5,34.3,61.6,0,2017
Lafayette,Pat,49.1,54.5,20.7,18.2,20,29.1,29.4,30.4,49.2,52.2,32.6,38.4,71,0,2017
Lehigh,Pat,55.4,50.2,19.8,18.6,23.2,24.1,32,28.1,53.4,49,39.2,34.8,71,0,2017
Loyola MD,Pat,46.7,52.2,22,21.3,33,28,39.2,35.9,45.3,53.2,33.2,33.4,67.2,0,2017
Navy,Pat,47.8,53,21.9,23.8,36.9,26.2,35.9,38.9,49,52.5,30.6,35.8,65.5,0,2017
American,Pat,50.7,54.8,20.4,20.4,23.8,31.4,30.4,40.7,50.7,53.6,33.8,38.3,67.6,0,2018
Army,Pat,52.3,52.4,18.8,19.7,27.1,27.6,24.5,38.1,48.8,51.1,38.1,36.2,71.5,0,2018
Boston University,Pat,52.8,52.8,20.1,20.1,28.3,29.6,32.8,30,51.1,52.2,37.3,35.8,68.7,0,2018
Colgate,Pat,51.5,53.2,16.4,19.4,25.6,27.6,29,29.4,49,51.8,36.3,36.7,67.6,0,2018
Holy Cross,Pat,52.6,51,19.1,20,19.3,31.9,29.7,34,55.1,49.4,32.6,35.4,64,0,2018
Lafayette,Pat,53.3,52,19.3,14.7,21,27.2,28.8,26,51.4,52.2,37.4,34.4,69.4,0,2018
Lehigh,Pat,52.9,52.4,17.4,16,25.3,26.8,25.8,30.7,47.7,53.1,40.6,34.3,71.9,0,2018
Loyola MD,Pat,47.8,54.4,18.9,18.7,29.1,26.4,33.3,40.4,48.1,54,31.3,36.8,69.7,0,2018
Navy,Pat,49.6,53.2,21.3,21.3,31.7,22.2,36.2,34,50.2,51.8,32.3,36.8,66.8,0,2018
American,Pat,53.2,48.2,18.7,17.7,26.1,27.4,35.8,34.8,55.6,50,32.5,29.2,67.9,0,2019
Army,Pat,49.6,53.3,16.5,18.7,21.6,22.9,24.3,28.4,51,53.4,31.8,35.4,71.2,0,2019
Boston University,Pat,53.4,54.6,18.8,18.2,28.6,25.1,24.8,32.5,54.5,56.4,34.2,34.7,67.8,0,2019
Bucknell,Pat,53,49.2,17.3,16.6,25.8,27.6,33.9,32.4,53.3,48.8,35.1,33.3,71.9,0,2019
Holy Cross,Pat,52.7,53.8,16.1,22.1,20.6,32.9,23.1,26.8,52.5,52.2,35.4,37.3,65,0,2019
Lafayette,Pat,52.6,54.7,18.7,15.3,22.2,26.7,24.5,31.2,49.2,52.9,38.3,38.6,70.2,0,2019
Lehigh,Pat,56.4,50.2,18.5,15.6,23.5,27.5,34.9,30.5,51.9,49.9,42.4,33.8,72.9,0,2019
Loyola MD,Pat,51.6,55.6,19.5,20.6,27.9,29.6,33.6,32.3,51.8,53.7,34.2,39.2,70.1,0,2019
Navy,Pat,46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,46.4,53.2,31.7,33.8,68.2,0,2019
Appalachian St.,SB,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,44.5,51.5,31.6,32.3,65.8,0,2015
Arkansas Little Rock,SB,47.6,51,15.6,19.9,28.4,31.2,36,40.8,45.8,49.1,34,36.3,64.7,0,2015
Arkansas St.,SB,45.3,48.3,20,17.6,29.7,32.7,33,34.7,44.1,47.6,32,33.1,66,0,2015
Georgia Southern,SB,47.3,46.2,18.3,22,32.6,32.2,36.2,32.7,47.5,45.9,31.4,31.2,63.8,0,2015
Louisiana Lafayette,SB,50.1,48,20.5,18.4,34.6,27.6,39.6,37.4,49.2,47.8,34.7,32.3,70.4,0,2015
Louisiana Monroe,SB,45.6,44.7,18,17.2,32.6,29.4,26.1,29.7,46,44.3,29.9,30.2,62,0,2015
South Alabama,SB,47.8,49,20.9,15.2,30,33.1,41.9,34.1,47,48.1,32.9,34.2,68.8,0,2015
Texas St.,SB,44,47.6,19.9,23.1,29,31.8,36.5,36.6,42.8,48.6,31.1,30.5,61.7,0,2015
Troy,SB,48.9,50.8,21.2,19.5,31.3,33.7,38,28.3,48.1,51.2,33.5,33.3,65,0,2015
UT Arlington,SB,49.4,47.8,20.8,19.6,31.8,32.8,38.1,42.2,50.8,47.8,31.3,31.8,70.1,0,2015
Appalachian St.,SB,47.2,51.2,21,15.9,33,32.3,39.1,39.8,43.1,48.8,35.6,38.6,71.3,0,2016
Arkansas St.,SB,45.8,47.1,18,14.9,28,31.2,40.1,38,45.1,43.5,31.5,35.6,73.3,0,2016
Georgia Southern,SB,47.5,51.8,16.2,20,29.7,34.5,37.7,44.5,45.6,52.5,33.3,33.8,69.5,0,2016
Georgia St.,SB,48.5,47.9,18,21.2,24.5,31,37.5,41.3,47.1,47,34.8,32.8,65.4,0,2016
Louisiana Lafayette,SB,48.8,49.9,17.5,16.5,37.7,26.4,42.2,35.5,49.9,47,31.1,37.8,71.3,0,2016
Louisiana Monroe,SB,50.6,47.5,18.2,17,31.5,31.6,32.2,33,50,46.6,34.5,32.7,66.6,0,2016
South Alabama,SB,46.1,48.4,20.6,18,30.5,32.5,38.3,38.7,45.1,48.4,31.9,32.2,70.6,0,2016
Texas St.,SB,46.6,49.6,17.8,20.8,29.8,30.6,37.7,35.6,46,47.9,32.1,35.1,64.2,0,2016
Troy,SB,45.7,51.1,16.7,17.8,29.4,31.5,37.2,35.8,44.8,49.5,31.5,36,69.4,0,2016
UT Arlington,SB,49.2,47,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,73.2,0,2016
Appalachian St.,SB,47.4,52.8,19.4,16.9,28.9,27.2,37.1,44.8,46.3,50.5,32.7,39,71.7,0,2017
Arkansas St.,SB,51.9,49.2,18.6,18.8,31,27.5,41.5,41.8,49.7,49.8,37.7,32,68.7,0,2017
Coastal Carolina,SB,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,48,49.7,32.7,33.9,69.9,0,2017
Georgia Southern,SB,51.5,51.3,17,18.7,25.2,33,39.9,34.7,49.2,51.4,36.3,34.1,69.7,0,2017
Georgia St.,SB,53,49,20,19.8,29.9,29.1,33.9,40,53.3,49.4,35,32.4,69.6,0,2017
Little Rock,SB,49.1,51.8,19.5,19.9,28.4,27.6,32.3,40.3,48.2,50.2,33.8,36.2,64.7,0,2017
Louisiana Lafayette,SB,51.5,54.4,17.9,20.1,36.3,27.8,42.2,37.3,51.5,53.8,34.2,37.1,73.6,0,2017
Louisiana Monroe,SB,47.7,50.5,19.4,16.5,29.5,29.4,26,34,47,49,32.5,35.5,66.4,0,2017
South Alabama,SB,48.4,52.2,18.4,22.4,27.2,31.7,38.3,40.4,49,51,31.7,36.2,71,0,2017
Texas St.,SB,50.5,47.7,18.2,19.9,28.2,29.6,36.8,36.1,50.1,47.4,34.1,32.1,63.5,0,2017
UT Arlington,SB,52.5,48.9,18.7,20.1,32.6,29.8,34.6,36.6,54.7,49.4,33,32.2,71.8,0,2017
Appalachian St.,SB,49.9,51.3,18.9,17.2,29.5,25.6,36.8,36.6,49.9,48.7,33.3,37.9,71.2,0,2018
Arkansas St.,SB,49.4,56,18.6,18.8,30.2,31.3,33.1,35.3,49.2,55.3,33.2,38.2,70.8,0,2018
Coastal Carolina,SB,49,49.6,22,18,34.2,28.4,38.8,40.2,48.4,47.4,33.3,34.9,68.9,0,2018
Georgia Southern,SB,49.2,49.7,16.1,20.3,30.3,31.9,38.2,35.2,48.4,50.4,33.6,32.4,69.9,0,2018
Little Rock,SB,47.4,50.8,21.7,19.9,28.3,31.2,32.1,40.5,47.3,49.4,31.8,35.1,66.2,0,2018
Louisiana Lafayette,SB,52.7,49.1,18.3,19.6,35.9,27.9,38,36.1,52.4,48.5,35.4,33.6,71.6,0,2018
Louisiana Monroe,SB,49.9,51.4,17.8,18.6,25.2,28.7,24.3,30.7,47,50.2,35.6,35.3,67.1,0,2018
South Alabama,SB,48.4,47.3,20.9,18.4,25.7,29.6,37.7,38,48.3,47.9,32.3,30.9,71.4,0,2018
Texas St.,SB,48.8,51.7,20.9,19.4,31.9,27.7,36.3,30,48.4,53.1,33.1,33,64,0,2018
Troy,SB,51.4,50.2,18,16.6,26.9,28.9,33.6,31.6,52.1,49.7,33.7,34,69.4,0,2018
UT Arlington,SB,52.5,49.2,20.1,19.3,30.8,27.7,34.8,34.7,51,47.9,36.5,33.9,73.9,0,2018
Appalachian St.,SB,51.4,53.8,17.8,17.4,25.9,29.8,37,34.1,51.3,52.8,34.4,37.3,72.8,0,2019
Arkansas St.,SB,47.2,51.6,19.4,17.1,33.7,29.8,37.9,43.7,46.5,50.2,32.3,36,69.6,0,2019
Coastal Carolina,SB,51.8,51,19.6,18,32.7,28.6,39.4,42.3,49.4,53.1,37,32.3,70.9,0,2019
Georgia Southern,SB,54.3,51.4,18.6,20,27.4,28.7,35,31.3,56.8,51.7,32.4,34,74.8,0,2019
Little Rock,SB,54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,54.9,51.7,35.6,35.3,71.9,0,2019
Louisiana Lafayette,SB,50.9,53.2,17.4,20,29.1,31.9,35.1,36.9,50.5,52.3,34.2,36.6,73.4,0,2019
Louisiana Monroe,SB,54,52.9,16.2,17.4,26.9,29,35.8,28.4,49.6,52.7,39.7,35.4,67.6,0,2019
South Alabama,SB,52.9,52.1,19.5,19.7,25.5,31.9,35.1,36.6,51.1,51.3,37,35.6,67.7,0,2019
Texas St.,SB,50,48.5,19.6,20.7,33.2,24.7,34.4,39.5,50.8,49.2,32.4,31.6,66.4,0,2019
Troy,SB,51,52.7,19.9,17.1,27.2,31.1,31.7,32.8,51.7,50.1,33.2,37.8,68.5,0,2019
UT Arlington,SB,47,48,20.3,18.1,31,28,34.5,38,47.9,50,30.5,29.9,67.9,0,2019
Chattanooga,SC,50.5,48,19.4,18.7,32.5,32.7,43.8,43.2,49.9,46.3,34.4,35,65.3,0,2015
East Tennessee St.,SC,49.8,51.3,18.7,21.4,29.6,33,39.8,42.3,45.5,49.5,36.7,35.8,67.9,0,2015
Furman,SC,49,52.3,21.1,16.5,29.5,32.3,44.1,36.5,48.9,51.3,32.8,36,62.8,0,2015
Mercer,SC,49.3,48.9,17.6,19.2,33.3,32.8,40.2,31.9,48.3,46.3,34.2,35.2,61.1,0,2015
Samford,SC,49.8,53.3,19.2,21.1,30.1,34.1,37.9,45.4,49.2,51,34,38.9,66.8,0,2015
The Citadel,SC,51.7,55.1,21.7,15.9,31.3,34.6,38,29.6,46.8,56.5,40.2,35.1,59.1,0,2015
UNC Greensboro,SC,49.7,50.8,18.8,18.2,30.6,29.7,31.3,48.5,47.6,49.7,36.1,35.2,66.1,0,2015
VMI,SC,46.9,53.2,19.6,20.5,31.9,33.9,29.8,42.3,46.7,53.9,31.4,34.1,77.3,0,2015
Western Carolina,SC,48.8,50.1,20.1,20.7,34.7,33.9,34.6,52.5,47.2,48.6,34.8,34.9,66.2,0,2015
East Tennessee St.,SC,53,50.5,18.1,17.8,28.3,30.6,34.9,39.8,50.4,50.1,38.3,34.1,70.2,0,2016
Furman,SC,51.5,50.8,20.5,19.2,32.1,28.8,43.3,38,54.2,49.9,31.9,35,65.9,0,2016
Mercer,SC,49.4,49.3,18.9,16.6,36.1,27.8,31.7,33.5,47.9,45.4,35.2,36.1,64.3,0,2016
Samford,SC,50.1,51.4,19.6,20.9,29.4,32.5,44.7,42.9,51,48.9,31.9,37,68.9,0,2016
The Citadel,SC,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,50.1,59.8,31.7,35.2,81.9,0,2016
UNC Greensboro,SC,51.3,51.9,17.7,17.4,27.1,27.5,28,38.5,49.1,49,36.3,37.4,68.3,0,2016
VMI,SC,47.1,53,18.5,18.7,26.3,34,27,41.4,45.7,51.2,32.5,37.4,69.3,0,2016
Western Carolina,SC,48.8,51,20,20.8,30.4,32.7,38.2,45,48.3,49.6,33,35.6,70,0,2016
Wofford,SC,51.7,54,18,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,66.2,0,2016
Chattanooga,SC,51.9,50.7,19.8,21.4,31.2,32.7,40.3,37.2,53.3,49.7,33.1,35.3,67.1,0,2017
Furman,SC,54.9,49.4,19.2,19.5,27.2,27.1,32.1,33.7,53.3,50.9,38.1,31.6,67.4,0,2017
Mercer,SC,50.4,50,18,15.7,33.9,28.4,32.8,35.3,49.6,47.7,34.4,35.3,63,0,2017
Samford,SC,53,49.8,19,17.2,29.4,31.2,41.5,31.8,50.2,49.8,38.9,33.3,69.8,0,2017
The Citadel,SC,49.3,57.9,17.2,19.7,28,35.4,32.8,40.9,47.8,57.7,33.9,38.9,81.7,0,2017
UNC Greensboro,SC,52.4,50.2,19.9,19.4,34.3,30.4,30.1,34.8,50.4,47.6,37,36.4,68.3,0,2017
VMI,SC,48.1,56.7,18.9,17.9,26.6,32.3,29.5,39.7,48.2,54.2,32,40.7,70.1,0,2017
Western Carolina,SC,43.1,52.9,23.2,19.1,31.5,29,27.7,46.6,41.9,52.1,30.4,36,68.5,0,2017
Wofford,SC,52.7,53.4,17.5,18,28.1,28.2,31.9,38.3,49.4,54.6,38.4,34.2,68,0,2017
Chattanooga,SC,50.1,55.3,20.6,19.2,26.6,27.8,34.6,27.9,48.6,55.8,34.8,36.2,66.7,0,2018
East Tennessee St.,SC,53.8,47.1,19.7,20.6,30.7,27.7,33.1,33.4,54.8,46.4,34.7,32,68.9,0,2018
Furman,SC,54.9,50.1,16.5,20.6,27,28.6,28.2,29.9,56.8,51.4,35.3,32,69.7,0,2018
Mercer,SC,54.3,53.1,18.8,16.5,31.4,24.9,35.7,33.6,52.7,52.5,37.8,35.8,65.4,0,2018
Samford,SC,54.4,57.7,19.1,18.7,24.7,34.8,30.8,28.5,53.3,58.3,37.2,38,71.9,0,2018
The Citadel,SC,49.1,56.8,18.7,19.6,27.4,33.7,32.7,30.4,47.9,57.4,33.4,37.3,78.9,0,2018
VMI,SC,45.7,52.1,21.4,18.8,25.4,30.3,27.7,34.2,43.7,52.1,32.3,34.6,70.1,0,2018
Western Carolina,SC,46.8,54.4,21.7,21,29,32.7,31.8,36.1,45.3,54.3,33,36.3,70.8,0,2018
Wofford,SC,55.2,53.3,18.2,18.7,25,27.1,28.5,34,50.9,52.4,40.2,36.4,67.1,0,2018
Chattanooga,SC,51.5,52.9,19.1,15.4,24.6,28.4,24.2,31.6,49.3,52,36.3,36.4,67.9,0,2019
East Tennessee St.,SC,54.6,52.6,20,20.5,37,23.9,30,30.5,55,48.5,35.9,39.1,68.5,0,2019
Furman,SC,55.4,47.9,18.4,20.1,28.7,30,24.9,24.2,56.7,48.6,36,31.2,68,0,2019
Mercer,SC,51,52.7,19.3,20.1,28.8,32.3,35.7,34.7,51.2,53.4,33.8,34.6,68.3,0,2019
Samford,SC,54.1,49.6,19.3,18.1,28.1,31.2,33.9,28.3,53,47.3,37.3,35.1,70.6,0,2019
The Citadel,SC,52,56.6,17.3,16.9,25.1,31.8,25.8,31.7,54.2,57.5,33.5,37.1,75.3,0,2019
UNC Greensboro,SC,51.2,51,17.1,22.2,31.4,29.7,30.6,32.2,51.4,50.1,33.8,35,69,0,2019
VMI,SC,50.1,56.9,16.5,16.9,21.7,27.6,29.2,32,47.6,56.8,35.4,38.1,73.1,0,2019
Western Carolina,SC,53.6,55.3,25.1,14.7,28.4,25.7,34.8,39.7,52.3,57.8,36.8,34.1,71.1,0,2019
Alabama,SEC,50.7,47.4,18.7,18.9,29.6,32,43.7,39.5,52.3,46.5,32.2,32.6,62.8,0,2015
Auburn,SEC,46.9,52.5,18.9,21.3,27.6,34.1,48.8,41.9,43.4,53.8,35,33.3,67.9,0,2015
Florida,SEC,49.6,46,19.6,21.6,31.7,29.1,31.4,37.8,50.3,44.6,32.4,32.8,62.7,0,2015
Mississippi St.,SEC,47.5,48,23.3,18.9,32.3,31.1,46.4,36.5,47.9,47,31.1,33.2,64.1,0,2015
Missouri,SEC,45.8,49.3,20.2,17.2,29.4,33.3,32.5,43.9,44.2,48,32.5,34.4,62.6,0,2015
South Carolina,SEC,45.2,44.8,19.6,21,34.6,31.5,37.3,44.5,45.2,43.2,30.1,31.7,64.9,0,2015
Tennessee,SEC,48.2,51.9,19.7,22.6,37,33.3,32.3,43.5,47.4,49.1,33.1,37.1,60.8,0,2015
Texas A&M,SEC,50.5,46.9,19.2,19.4,34.1,28.1,38.1,36.4,49.6,47.1,35.1,31,64.2,0,2015
Vanderbilt,SEC,54.4,46.6,20,18.1,31.9,33.1,42.4,34.4,51.5,44.5,39.6,34,63.6,0,2015
Alabama,SEC,49.6,46.6,19.9,18.2,28.3,34.6,40.7,39.1,48.5,45.1,33.9,32.9,65.7,0,2016
Arkansas,SEC,49.7,49.8,15.3,19.6,30.9,30.1,37.6,42.9,46.1,47.7,39.7,35.9,71,0,2016
Auburn,SEC,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,44.3,49.6,34,34.8,72.5,0,2016
Florida,SEC,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0,2016
Georgia,SEC,48.1,45.5,19.2,15.6,32.4,29.8,43.5,41.1,44.8,42.8,36.8,33.1,67.9,0,2016
LSU,SEC,51.1,51.8,16.2,18.8,29.8,29.9,43,33.4,52,51.3,32.7,35,72.9,0,2016
Mississippi,SEC,48.1,49.7,17.1,20.1,34.6,31.1,41.3,40.7,46.5,47.4,33.8,35.5,69.4,0,2016
Mississippi St.,SEC,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,70.2,0,2016
Missouri,SEC,47.2,49,18,16,26.8,29.8,39.6,40.8,47.6,48,31,33.6,68.9,0,2016
South Carolina,SEC,48.5,47.4,18.9,20.5,37.5,29.5,43.2,38.2,46.6,42.9,35.4,35.8,71.2,0,2016
Tennessee,SEC,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,70,0,2016
Alabama,SEC,48.2,46.1,20.4,19.8,34.1,26.6,39.1,39.9,48.7,44.2,31.7,33.3,66.6,0,2017
Auburn,SEC,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,48.5,48.7,36.6,35.7,75.2,0,2017
Georgia,SEC,48.1,47.2,18.6,16.7,28.9,28.2,40.7,34.2,48.3,45.4,31.8,33.6,68.5,0,2017
LSU,SEC,50.2,54.6,19.8,16.9,31.2,31.3,31.5,36.9,50.2,52.9,33.6,38.2,73.4,0,2017
Mississippi,SEC,48.8,49.8,19.3,18.8,33.9,30,42.8,35.6,46.8,46.7,34.7,36.3,72.7,0,2017
Mississippi St.,SEC,51.1,48.1,19,19.7,27.1,30.1,33.9,37.9,50.4,48.6,34.7,31.5,70.2,0,2017
Missouri,SEC,45.2,49.6,16.9,19.2,28.2,30.2,38.7,42.6,45,48.3,30.4,34.4,69.7,0,2017
Tennessee,SEC,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,46,46.2,32.4,35.5,70.8,0,2017
Texas A&M,SEC,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,52.1,43.7,32.9,35.2,65.8,0,2017
Georgia,SEC,47.5,45.6,19.2,14.5,34.8,28.9,40.1,27.7,47.4,43.1,31.8,33.2,65.6,0,2018
LSU,SEC,54.5,52.7,16.6,19.6,29.2,31.6,32.5,32.7,56.3,52.6,34.6,35.3,69.5,0,2018
Mississippi,SEC,48.3,51.5,15.9,17.3,31.3,30.7,33.8,36.9,48.7,48.1,31.9,37.8,71,0,2018
Mississippi St.,SEC,52.2,48.3,19.1,19.5,32.1,30.7,31.7,29.7,55.2,47.2,31.5,33.3,68.6,0,2018
South Carolina,SEC,46.2,49.3,19.7,21,33.6,27.5,42.8,43.1,43.5,48.7,33.8,33.5,69.8,0,2018
Vanderbilt,SEC,51.8,52.4,17.7,14.7,28.6,27.7,36.2,36.5,50.8,50.7,35.3,37.4,67,0,2018
Alabama,SEC,50.3,48.9,19.5,16.9,31.5,28,38,29.6,49.9,48.5,34,33.3,70.1,0,2019
Arkansas,SEC,51,49.4,18.3,22.5,28.3,34.8,38.4,41.7,50.6,48.9,34.5,33.3,71.9,0,2019
Georgia,SEC,50.1,48.5,22.5,15.5,32.7,31,41.3,29.9,51.1,47.8,32.2,33.2,70.2,0,2019
Missouri,SEC,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66.1,0,2019
South Carolina,SEC,48.3,49.5,19.2,20.3,31.8,31.1,36.2,39.6,44.9,48.2,36.5,34.2,71.8,0,2019
Texas A&M,SEC,49.3,49.3,20,18.5,32.7,32.5,34.2,27,51,49.1,30.8,33.1,69,0,2019
Vanderbilt,SEC,48.6,49.5,20.5,16.4,29,29.3,40.6,33.3,50,48,31.1,34.9,68.9,0,2019
Abilene Christian,Slnd,47.3,55.3,19.8,20.8,24.1,33.9,28.3,44.7,42,55.2,37.8,37,64,0,2015
Central Arkansas,Slnd,48.8,55,25.6,18.3,28,36.7,39.3,42.5,46.5,54.4,35.3,37.6,69.9,0,2015
Houston Baptist,Slnd,47.4,52.8,21.4,17.2,37.6,31.5,39.4,43.7,47.5,51,31.5,37.9,66.7,0,2015
Incarnate Word,Slnd,52,51.4,15.7,17.9,25.7,31.5,45.3,39.6,51.8,50.6,35,35.5,67.7,0,2015
Lamar,Slnd,49.7,52.8,23.4,20.4,34.6,32.9,41.9,46,50.7,50.8,31.9,37.6,66.5,0,2015
McNeese St.,Slnd,46.4,51.9,16,18.5,33.7,34.4,30.9,34.9,45.9,53.1,31.6,33.1,63.3,0,2015
New Orleans,Slnd,46.5,54.8,22.2,21.2,35.7,32.9,45.9,44,45.2,53.9,33.9,37.8,67.5,0,2015
Nicholls St.,Slnd,47.8,50,25,20.3,30.1,34.5,42.4,50.7,48.4,48.3,31.2,35.7,66.8,0,2015
Northwestern St.,Slnd,52.9,54.4,15.9,19.6,29.8,38.9,35.1,36.9,51.6,51.8,36.8,40.1,73.1,0,2015
Sam Houston St.,Slnd,47.6,45.1,19.7,20.4,36,27.3,46.3,41.1,47.3,43.9,32.1,32.2,65,0,2015
Southeastern Louisiana,Slnd,50.9,50.4,22.5,19.4,29.1,32.2,32.5,33.9,53,48.6,31.2,35.8,66.8,0,2015
Texas A&M Corpus Chris,Slnd,49.2,48.3,19.4,20.6,30.3,33.1,51,46.1,48.7,48.3,33.5,32.2,63.1,0,2015
Abilene Christian,Slnd,50.5,54.6,19.2,19.2,24.5,27.6,40.3,46.5,48.4,54.2,36.3,36.9,68.4,0,2016
Central Arkansas,Slnd,49.9,53.8,19.7,15.8,31.3,29.8,41.9,38.7,47.4,51.5,37.2,38.7,72.9,0,2016
Houston Baptist,Slnd,50.5,50.9,21.1,16.7,29.6,31.9,44.9,36.7,49.3,49.1,35.5,36.3,71.1,0,2016
Incarnate Word,Slnd,49.9,52.9,17.8,18.2,22.5,28.8,35.5,38.1,44.7,52.4,38.9,35.9,68.3,0,2016
Lamar,Slnd,47.4,52,20.5,19.4,33.4,31.9,42.6,46.6,46.7,51.4,32.6,35.6,72.8,0,2016
McNeese St.,Slnd,46.7,52.3,17.7,16.1,28.1,33,36.2,37.7,44.9,50.8,33.2,37.3,69.3,0,2016
New Orleans,Slnd,45.1,52.9,19.7,21.4,34.8,33.5,43.2,43,43.8,51.5,32.5,37,72.7,0,2016
Nicholls St.,Slnd,47.1,50.8,22,18.2,25,34.5,40.4,39.7,47.7,49.3,30.9,35.9,69.8,0,2016
Northwestern St.,Slnd,50.2,55.1,19.5,18.6,27.3,38.6,35.2,36.1,49.5,54.8,34.3,37.1,74.2,0,2016
Sam Houston St.,Slnd,49.3,51.9,16.9,18.7,28.8,23.7,36.6,44.8,48,50.9,34.1,35.6,67.8,0,2016
Southeastern Louisiana,Slnd,51.1,52.1,21.5,19.1,29.4,33.6,37,41.9,49.1,49.5,36.5,37.5,69,0,2016
Texas A&M Corpus Chris,Slnd,49.2,48.9,17.7,22.5,30.9,33.2,37.7,44.5,48.2,46.6,34.1,35.2,69.3,0,2016
Abilene Christian,Slnd,52.5,52.8,21,21.4,23,31.7,34.7,44.3,50.7,52.1,37.1,36.1,67.1,0,2017
Central Arkansas,Slnd,49.8,55.1,19.1,15.7,28.8,31.7,35.9,32,46.7,52.2,37.5,39.2,72.4,0,2017
Houston Baptist,Slnd,49.1,53.2,19.3,18.5,35.7,28.6,37.8,38.7,48.6,52.6,33.5,36.2,71.6,0,2017
Incarnate Word,Slnd,51.4,51.5,18.6,16.6,22.2,32.4,43.6,38.9,48.2,51.8,37.8,33.7,73.1,0,2017
Lamar,Slnd,51,51.9,19.5,21,31.2,29.4,40.3,42.2,49.3,53.1,35.8,32.9,69.2,0,2017
McNeese St.,Slnd,47.5,50.6,19.8,17.9,25.4,36.2,34.4,39.1,46.2,49.7,33.4,35.1,71.6,0,2017
Nicholls St.,Slnd,49.5,55.6,20.4,20.4,26.8,37.6,35.8,33.5,49,51.7,33.5,41.7,71,0,2017
Northwestern St.,Slnd,50.1,53.9,20.8,19.2,29.6,32.4,41,39.4,47.9,52.5,36.3,37.8,72.3,0,2017
Sam Houston St.,Slnd,47.1,50,19.3,22.2,31.6,27.4,36.3,48.2,47.7,48.8,30.6,34.7,71.6,0,2017
Southeastern Louisiana,Slnd,50.2,49,22.8,21.6,35,30.8,37,39.6,48.3,47.6,36.1,34.5,68.8,0,2017
Stephen F. Austin,Slnd,49.2,52.1,24.8,22.9,34.7,28.4,40.6,44.4,50.3,52,31.4,34.9,67.6,0,2017
Texas A&M Corpus Chris,Slnd,51.3,51.6,18.8,23,29.3,31.1,37.1,41.2,52.1,51.3,32.8,34.6,69.6,0,2017
Abilene Christian,Slnd,50.4,51.4,20.3,21.6,27.3,29.7,31.5,43.2,51.9,52.3,31.8,33.2,69.8,0,2018
Central Arkansas,Slnd,51.7,50.9,18.3,19,27.2,33.1,36.1,37.9,50.7,49.4,35.6,36,73.9,0,2018
Houston Baptist,Slnd,46,56.1,18.8,18.8,34,31.2,35.5,38.6,44.4,54.2,32.8,39.7,74.6,0,2018
Incarnate Word,Slnd,47.6,52.5,23.2,17.7,26.9,35.4,41.1,33.8,45.4,50.6,34.6,37.6,70.6,0,2018
Lamar,Slnd,48.5,51.7,17.9,21.9,31.7,27.8,36.3,38.3,46.7,51.3,34.4,35,68.8,0,2018
McNeese St.,Slnd,48.8,49.8,19,15.2,29.3,33.3,32.7,31.5,47.3,48.4,34.6,35,71,0,2018
New Orleans,Slnd,48.8,53.2,21.9,22.3,32.6,30.9,41.5,38.3,47.3,51.6,35.6,37.6,67.1,0,2018
Nicholls St.,Slnd,51.9,50.2,20.4,21.1,30.5,30.6,37.3,45.2,51.6,49.7,34.8,34.1,75.2,0,2018
Northwestern St.,Slnd,44.3,54.1,24.7,19.1,32.4,34.5,33.2,40.1,44.9,53.1,28.3,37.2,70.5,0,2018
Sam Houston St.,Slnd,48.2,51.8,18.8,20.1,32.5,27.4,34,37.6,47,53.1,33.7,33.3,68.1,0,2018
Southeastern Louisiana,Slnd,51.2,49.6,19.6,20.3,29.5,33.6,35.3,29,50.9,48.4,34.4,34.6,67.2,0,2018
Texas A&M Corpus Chris,Slnd,48.1,52.3,23,21.2,28.8,29.3,37,46.1,46.7,51.6,34.4,35.5,69,0,2018
Central Arkansas,Slnd,49.1,51.9,19.7,18,24.5,30.9,34.2,34.3,46.3,51.2,35.3,35.3,72,0,2019
Houston Baptist,Slnd,49.6,55.7,19.5,20.2,33.8,29.6,42.4,35.7,49.3,54.3,33.4,39,75.1,0,2019
