TEAM,CONF,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,YEAR
Louisiana,SB,45.7,51.3,16,19.1,25.9,35.5,29.8,43.8,45,53.8,31.3,31.5,66.2,2015
Southern Miss,SB,47.9,50.2,19.5,16.1,28.1,30.2,33.8,35.4,49.8,51.2,29.8,32.5,70.7,2015
Rider,MAAC,47.7,53.1,17.2,16,32.2,30.7,29.6,27.3,48.1,52.8,31.2,35.7,64.8,2015
Charleston Southern,BSth,48.7,53.4,19.9,13.5,31.2,28.2,43.9,33.3,50.7,55.4,30.7,32.4,67.5,2015
Long Beach St.,BW,49.2,53.4,21.7,17.1,28.5,34.9,35.5,35.2,47,51.2,35.3,38.1,64,2015
Loyola MD,Pat,50.1,52.8,17.7,16.9,28.6,27.9,29.3,30.2,50.7,52.9,32.9,35.1,66.5,2015
VMI,SC,48.5,54.2,18,17.6,25.2,32.1,37.5,30.5,50.3,56.3,31,34.5,68,2015
Army,Pat,49.7,53.7,14.7,16,25.8,29.3,25.8,27.1,52.1,55.2,30.8,34.5,67.5,2015
Delaware St.,MEAC,48.8,53.8,18.1,20,34,32.1,36.3,40.3,47.6,56.3,35.5,33.5,70.1,2015
IU Indy,Horz,50.4,57,15.7,16,30.6,33.6,34.1,35.1,46.2,57.8,36.8,37.3,64.8,2015
Eastern Illinois,OVC,44.1,51,18.7,20.8,30,30.9,33,39.7,42.6,50.2,31.7,34.7,66.1,2015
Binghamton,AE,51.6,49.7,19.6,12.8,26.9,26.9,33.7,31.9,50.6,51.1,35.4,31.8,65.5,2015
Boston University,Pat,50.2,52.4,20.6,16.7,32.5,23.4,30.7,32,50.7,51.2,33,36.1,63.2,2015
UMBC,AE,55.2,54.1,15.9,17.4,19.4,33.7,31.6,27.9,53.8,54.2,38.4,35.8,70.4,2015
Lindenwood,OVC,45,50.7,17.9,19.4,30,31.5,36,34.7,47.6,50,26.7,34.6,69.4,2015
North Carolina Central,MEAC,50.1,54.8,19.2,21,34.6,38.8,39.8,42,49.9,57.6,33.7,32.7,66.9,2015
Morehead St.,OVC,45.9,50.3,18.4,14.4,31.2,25.4,37.6,34.7,45.5,49.9,31.2,34.1,64,2015
Alcorn St.,SWAC,46.1,53,19.6,18.3,33.6,32.5,30.4,31.5,45.4,54.6,31.8,34.1,64.7,2015
Grambling St.,SWAC,47.3,49.3,19.2,18.3,26.3,31.1,35.1,31.3,46.9,47,32,35.7,63.8,2015
Coastal Carolina,SB,49.4,48.6,18.4,10.5,29,28.7,34.4,36.9,47.7,48.5,34.8,32.5,63.1,2015
Southern Utah,WAC,46.8,49.9,21.6,15.1,30.1,32,36.2,33,47.2,49.8,30.5,33.3,68.9,2015
Florida A&M,SWAC,50.6,51.4,20.7,15.4,27.7,31.9,36.7,39.9,50.8,51.5,33.6,34.2,67.1,2015
Niagara,MAAC,52,53,18.6,16.8,23.6,27.3,30.4,29.8,51.8,51.8,34.9,36.7,64.8,2015
Stonehill,NEC,51.1,50.9,18.3,16.2,26.4,29.4,31.4,32.7,49.4,50.1,35.4,34.9,65.1,2015
Holy Cross,Pat,53.1,53.5,17.9,13.6,23.3,27,22.2,25.4,49.6,54.5,38.6,34.5,65.8,2015
Green Bay,Horz,50.9,54.8,18,14.6,18.4,32,37,35.4,52.2,54.1,32.9,37.3,69.1,2015
Stony Brook,CAA,47.7,56,18.3,14.9,29.5,31.2,31.6,28.4,45.7,57.2,33.8,36.3,64.4,2015
Texas A&M Commerce,Slnd,49.2,53.8,22.5,19.9,28.1,35.9,28,36.5,51.1,52.6,31.4,37.4,67.4,2015
Mercyhurst,NEC,48.6,55,16.4,20.3,22.2,33.3,30.9,38.3,45.8,56,35.7,35.7,64.5,2015
USC Upstate,BSth,49.8,56.1,19,16.6,25.3,32.4,30.4,39.5,53.1,58.3,29.4,35.2,72.7,2015
Fairfield,MAAC,46.3,53.7,15.5,18.2,28.6,31,25.4,31,45.8,53.4,31.5,36,65.8,2015
Southern Indiana,OVC,47.9,51.8,17.2,16.7,27.9,31.3,30.7,35.6,45.4,50,35.2,36.7,66.9,2015
Morgan St.,MEAC,49,52.4,17.9,17,34.1,36.9,35.7,39.1,49.5,51,31.6,36.8,70.3,2015
Bellarmine,ASun,53.7,58.1,17.4,15.4,20.2,30,26.5,34.9,53.9,57.8,35.6,39,66.2,2015
North Carolina A&T,CAA,45.8,51.5,15.4,15.3,27,31.4,31.2,30,46.3,52.4,30,33.3,69.3,2015
Wagner,NEC,43.7,50.4,19.4,18.2,31.7,25,29.3,39.9,41.5,50.8,31.6,33.2,60.1,2015
Western Carolina,SC,45.4,51.1,19,13.5,25.7,29.4,27,34,46.3,52.8,29.7,32.6,70.4,2015
Western Illinois,OVC,50.1,51.1,18.2,14.4,28.1,31.8,27.2,30.6,46.7,50.2,37.3,35.1,64.4,2015
West Georgia,ASun,47.2,56.1,16.3,16.6,26.1,29.2,28.8,36.3,48.4,56.9,29.7,36.8,68,2015
Louisiana Monroe,SB,45,53.6,17.1,16.1,29,32.5,31.1,25.1,43.1,55.8,32.5,34,67.7,2015
Buffalo,MAC,48.8,54.2,19.5,16.2,24.8,31.3,32.7,31.2,51.3,53.4,30.5,37.2,70.6,2015
Detroit Mercy,Horz,45.6,51.2,19.1,15.5,31.9,30.5,28.9,39.8,43.9,52.4,33.3,33.2,67,2015
Le Moyne,NEC,51.5,54.7,19.6,16.3,25.7,32.9,37.7,36.9,53.2,54.1,32.8,37,68.6,2015
Sacramento St.,BSky,48,55.1,20.3,17.1,27.4,27.6,31.3,39.2,49.1,55.2,31.2,36.6,65.3,2015
Northern Illinois,MAC,47.1,53.2,16.3,16.6,17.8,30.8,31.6,44,45.3,51,32.7,38,68.9,2015
New Orleans,Slnd,45.9,54.9,18.8,16.1,31.6,35.5,33.9,26.6,46,55.1,30.4,36.4,69.2,2015
Central Arkansas,ASun,47.4,56.8,18.2,16.7,28.6,30,28.8,22.6,50.2,55.4,29.6,38.7,66.3,2015
